Assemblies	megahit-103-df	megahit-103-ml	megahit-103-ms	megahit-113-df	megahit-113-ml	megahit-113-ms	megahit-129-df	megahit-129-ml	megahit-129-ms	metaSPAdes
GCF_001704645.1_ASM170464v1	98	140	149	97	87	107	117	104	127	66
GCF_001715615.1_ASM171561v1	26	41	41	10	15	23	13	19	22	6
GCF_001717125.1_ASM171712v1	148	135	201	184	223	239	193	297	306	83
GCF_001721925.1_ASM172192v1	915	982	923	897	1024	1072	939	1162	1178	866
GCF_001746265.1_ASM174626v2	59	39	230	1076	1253	1602	1232	2401	3573	80
GCF_001750685.1_ASM175068v1	3773	3495	3051	2933	5211	5212	2899	5884	6262	4417
GCF_001808555.1_ASM180855v1	436	1130	856	203	202	208	217	249	278	168
GCF_001811315.1_ASM181131v1	540	583	632	561	717	724	660	854	812	339
GCF_001811695.1_ASM181169v1	1167	1220	1327	1201	1392	1393	1306	1603	1604	637
GCF_001814855.1_ASM181485v1	241	244	268	265	353	343	299	620	547	124
GCF_001815255.1_ASM181525v1	1021	1068	1197	1064	1240	1215	1175	1411	1340	695
GCF_001831275.1_ASM183127v1	115	129	126	136	157	185	119	185	216	93
GCF_001922325.1_ASM192232v1	4	2	2	1	6	7	3	17	22	2
GCF_001938785.1_ASM193878v1	233	222	295	317	286	382	348	322	432	138
GCF_001951175.1_ASM195117v1	126	115	118	117	156	146	129	338	251	92
GCF_001953935.1_ASM195393v1	98	112	172	96	87	94	104	150	148	45
GCF_001981595.1_ASM198159v1	633	1775	1497	168	167	178	146	214	241	109
GCF_001998765.1_ASM199876v1	13	12	24	19	57	62	21	133	107	19
GCF_002000665.1_ASM200066v1	339	304	237	185	683	697	195	1286	1245	284
GCF_002003555.1_ASM200355v1	10	7	18	15	21	32	15	30	38	5
GCF_002078855.1_ASM207885v1	387	308	259	251	939	911	286	1864	1877	388
GCF_002079325.1_ASM207932v1	46	54	54	55	61	68	62	69	82	28
GCF_002079435.1_ASM207943v1	112	112	145	135	149	126	150	146	175	81
GCF_002079585.1_ASM207958v1	107	92	133	120	117	123	136	126	137	58
GCF_002079925.1_ASM207992v1	195	222	258	227	270	296	240	301	304	144
GCF_002091975.1_ASM209197v1	16	8	67	105	60	60	74	122	160	7
GCF_002095655.1_ASM209565v1	92	78	128	140	143	174	155	152	196	66
GCF_002117305.1_ASM211730v1	18	42	49	28	28	33	29	40	47	12
GCF_002119605.1_ASM211960v1	-	-	-	-	-	-	-	-	1	-
GCF_002201475.1_ASM220147v1	1120	1019	1147	1114	1158	1224	1150	1330	1304	956
GCF_002201495.1_ASM220149v1	115	150	173	111	239	141	109	275	190	32
GCF_002204455.1_ASM220445v1	20	32	31	20	22	23	25	33	49	5
GCF_002206085.1_SJD4	13	25	26	13	14	15	16	23	28	6
GCF_002217985.1_ASM221798v1	209	122	1008	1462	669	939	1122	1893	2757	63
GCF_002218605.1_ASM221860v1	173	106	475	236	168	213	273	397	639	54
GCF_002218725.1_ASM221872v1	161	98	505	308	230	283	337	490	836	85
GCF_002218965.1_ASM221896v1	6	5	7	10	15	23	9	21	26	1
GCF_002221555.2_ASM222155v2	65	76	65	53	69	55	53	209	128	42
GCF_002222595.2_ASM222259v2	11	10	14	9	12	17	7	52	33	10
GCF_002253685.1_ASM225368v1	1356	1308	1375	1322	1395	1396	1390	1565	1594	1262
GCF_002254255.1_ASM225425v1	303	286	279	298	384	406	332	460	481	262
GCF_002257605.1_ASM225760v1	405	412	423	450	410	432	422	424	499	336
GCF_002278095.1_ASM227809v1	4	6	9	9	13	14	11	17	25	2
GCF_002442835.1_ASM244283v1	286	259	385	378	423	425	395	767	811	153
GCF_002549775.1_ASM254977v1	17	14	24	13	26	30	26	39	39	7
GCF_002549905.1_ASM254990v1	1836	1924	1969	1808	2126	2054	1860	2443	2332	1211
GCF_002549935.1_ASM254993v1	770	858	899	726	960	902	893	1200	1065	435
GCF_002549945.1_ASM254994v1	68	89	87	77	94	81	99	126	122	31
GCF_002549975.1_ASM254997v1	478	516	496	437	488	492	534	960	860	255
GCF_002550015.1_ASM255001v1	15	15	18	11	14	13	20	24	30	7
GCF_002706705.1_ASM270670v1	535	1402	1142	379	426	444	421	624	772	246
GCF_002751085.1_ASM275108v1	267	351	372	205	253	242	205	321	305	164
GCF_002753955.1_ASM275395v1	105	108	131	95	120	107	105	171	174	34
GCF_002754015.1_ASM275401v1	29	53	40	27	25	29	31	34	35	10
GCF_002754035.1_ASM275403v1	24	32	44	23	27	23	23	32	46	6
GCF_002754055.1_ASM275405v1	33	49	54	32	41	36	35	53	62	9
GCF_002754095.1_ASM275409v1	152	166	200	140	193	185	182	275	287	77
GCF_002754115.1_ASM275411v1	207	216	276	188	236	238	236	361	402	84
GCF_002763575.1_ASM276357v1	55	65	93	61	95	69	80	133	132	25
GCF_002763745.1_ASM276374v1	35	28	55	29	48	54	45	64	81	13
GCF_002763845.1_ASM276384v1	340	414	480	310	348	325	367	501	515	163
GCF_900018625.1_13566_1_59	5	3	5	6	4	15	6	3	9	2
GCF_900021155.1_CHCKI003	1743	1526	1317	1476	2428	2408	1521	2862	3081	1827
GCF_900067125.1_ASM90006712v1	43	27	50	45	48	74	51	62	79	20
GCF_900078295.2_PRJEB13136	22	15	30	21	26	39	28	32	52	18
GCF_900081375.1_12641_2_43	185	188	205	200	332	337	221	638	598	92
GCF_900083545.1_PRJEB13794	517	586	732	581	651	725	662	726	791	285
GCF_900095495.1_B_ovatus_V975	365	504	449	270	300	301	311	600	496	207
GCF_900096735.1_TFUB20	60	54	98	78	97	106	92	100	132	50
GCF_900097105.1_WK001	16	11	25	21	22	31	23	21	32	10
GCF_900099715.1_IMG_taxon_2593339241_annotated_assembly	12	5	11	7	6	14	12	9	12	10
GCF_900100245.1_IMG_taxon_2606217752_annotated_assembly	981	958	1165	1112	1139	1208	1196	1205	1325	785
GCF_900100465.1_IMG_taxon_2654588146_annotated_assembly	51	40	61	57	61	68	57	100	87	17
GCF_900100545.1_IMG_taxon_2651870321_annotated_assembly	5	9	9	10	10	12	10	16	16	2
GCF_900100595.1_IMG_taxon_2593339217_annotated_assembly	1655	1634	1781	1769	1818	1913	1855	1929	2061	1418
GCF_900101295.1_IMG_taxon_2606217764_annotated_assembly	7	17	19	16	18	32	16	24	33	23
GCF_900101325.1_IMG_taxon_2596583543_annotated_assembly	2394	2261	2234	2178	2749	2818	2210	3064	3152	2351
GCF_900101605.1_IMG_taxon_2595698227_annotated_assembly	4	4	8	6	2	14	8	17	19	5
GCF_900101965.1_IMG_taxon_2675903020_annotated_assembly	1	1	1	2	1	1	-	1	-	-
GCF_900103115.1_IMG_taxon_2654588126_annotated_assembly	179	181	188	168	227	206	166	387	341	139
GCF_900103235.1_IMG_taxon_2593339151_annotated_assembly	126	122	107	81	284	222	91	744	594	98
GCF_900103835.1_IMG_taxon_2667527408_annotated_assembly	178	142	229	207	219	273	241	229	280	115
GCF_900104335.1_IMG_taxon_2593339244_annotated_assembly	23	21	34	32	26	47	38	48	50	16
GCF_900104565.1_PRJEB16354	-	-	-	-	-	1	1	1	-	-
GCF_900104615.1_PRJEB16353	1	-	1	-	-	2	-	4	2	-
GCF_900104665.1_PRJEB16357	858	904	1024	1017	1031	1079	1083	1086	1237	689
GCF_900104675.1_PRJEB16361	22	12	33	34	32	37	25	34	47	12
GCF_900106615.1_IMG_taxon_2651870364_annotated_assembly	6	4	1	2	3	5	3	3	6	3
GCF_900106755.1_IMG_taxon_2693429916_annotated_assembly	1417	1570	1597	1485	1743	1649	1616	1946	1910	754
GCF_900106845.1_PRJEB14233	19	8	26	28	17	32	29	19	24	13
GCF_900107485.1_IMG_taxon_2599185206_annotated_assembly	-	-	1	2	-	3	-	-	-	-
GCF_900107545.1_IMG_taxon_2593339240_annotated_assembly	792	670	535	572	1777	1645	651	3009	3175	789
GCF_900107575.1_IMG_taxon_2593339166_annotated_assembly	254	231	313	325	320	409	350	344	437	169
GCF_900107675.1_IMG_taxon_2693429854_annotated_assembly	150	168	247	193	209	236	197	237	276	92
GCF_900107785.1_IMG_taxon_2654588140_annotated_assembly	303	289	315	341	325	345	352	357	409	244
GCF_900107835.1_IMG_taxon_2657244910_annotated_assembly	595	570	737	707	712	823	796	777	901	427
GCF_900108375.1_IMG_taxon_2596583684_annotated_assembly	25	6	30	30	28	54	38	27	46	12
GCF_900108895.1_IMG_taxon_2654588144_annotated_assembly	40	67	61	45	59	69	48	156	131	25
GCF_900109005.1_IMG_taxon_2617270830_annotated_assembly	1967	1841	1913	1824	2135	2133	1849	2268	2329	1860
GCF_900109085.1_IMG_taxon_2616644817_annotated_assembly	4	4	6	3	5	9	6	4	11	6
GCF_900109215.1_IMG_taxon_2654588124_annotated_assembly	240	263	189	134	339	256	117	751	610	127
GCF_900109435.1_IMG_taxon_2593339146_annotated_assembly	2	4	5	4	3	6	3	2	3	1
GCF_900109635.1_IMG_taxon_2623620522_annotated_assembly	1768	1623	1434	1276	2546	2351	1319	3552	3522	1324
GCF_900109715.1_IMG_taxon_2595698239_annotated_assembly	241	253	298	275	383	366	345	608	533	108
GCF_900109965.1_IMG_taxon_2593339260_annotated_assembly	133	134	115	106	209	178	146	466	381	57
GCF_900110045.1_IMG_taxon_2667527384_annotated_assembly	10	6	12	12	16	26	16	17	20	15
GCF_900110805.1_IMG_taxon_2593339242_annotated_assembly	33	44	46	50	69	71	52	131	147	22
GCF_900111135.1_IMG_taxon_2684622850_annotated_assembly	4	3	14	12	12	28	15	12	15	5
GCF_900111185.1_IMG_taxon_2623620520_annotated_assembly	68	59	75	73	110	116	87	256	227	33
GCF_900111355.1_IMG_taxon_2634166323_annotated_assembly	873	887	1024	1037	1065	1133	1098	1099	1244	674
GCF_900111435.1_IMG_taxon_2654588206_annotated_assembly	1201	1109	827	846	2280	2314	846	2862	3182	1448
GCF_900111575.1_IMG_taxon_2602042032_annotated_assembly	7	3	12	8	7	13	12	5	9	4
GCF_900112775.1_IMG_taxon_2599185221_annotated_assembly	3248	2931	2827	2723	3933	3883	2730	4373	4542	3632
GCF_900112855.1_IMG_taxon_2606217811_annotated_assembly	38	32	32	23	50	47	48	61	79	28
GCF_900113595.1_IMG_taxon_2657245270_annotated_assembly	762	1081	779	403	588	498	281	1492	938	142
GCF_900113655.1_IMG_taxon_2606217763_annotated_assembly	517	540	648	652	724	803	761	822	932	295
GCF_900113995.1_IMG_taxon_2593339255_annotated_assembly	4	3	4	3	3	2	6	3	8	2
GCF_900114115.1_IMG_taxon_2622736590_annotated_assembly	433	367	539	540	526	652	580	569	702	302
GCF_900114365.1_IMG_taxon_2651870357_annotated_assembly	20	15	22	28	23	29	28	21	31	20
GCF_900114405.1_IMG_taxon_2654588176_annotated_assembly	32	24	45	37	44	62	41	45	69	18
GCF_900115355.1_IMG_taxon_2623620483_annotated_assembly	577	639	522	442	1001	874	450	2164	1871	326
GCF_900115365.1_IMG_taxon_2634166351_annotated_assembly	16	11	25	26	31	52	26	25	37	16
GCF_900115435.1_IMG_taxon_2623620458_annotated_assembly	3	-	3	2	3	11	5	3	9	1
GCF_900115855.1_IMG_taxon_2623620476_annotated_assembly	1194	1198	1465	1427	1455	1566	1544	1568	1751	798
GCF_900116075.1_IMG_taxon_2654588129_annotated_assembly	1289	1232	1496	1462	1470	1577	1563	1569	1655	1061
GCF_900116395.1_IMG_taxon_2595698216_annotated_assembly	-	-	-	-	-	2	-	4	3	-
GCF_900119155.1_IMG_taxon_2593339149_annotated_assembly	171	137	136	119	326	265	123	807	603	119
GCF_900119285.1_IMG_taxon_2593339271_annotated_assembly	28	27	40	37	32	54	38	42	61	13
GCF_900119535.1_IMG_taxon_2606217757_annotated_assembly	345	334	273	251	748	568	243	1826	1459	227
GCF_900120295.1_PRJEB18018	246	307	355	310	404	421	360	484	438	128
GCF_900120395.1_PRJEB18035	11	11	25	17	15	26	20	21	28	2
GCF_900128445.1_PRJEB18031	1409	1205	1043	1056	2218	2173	1124	2652	2926	1680
GCF_900128485.1_PRJEB18048	1708	1613	1510	1454	2049	2041	1498	2223	2318	1820
GCF_900128495.1_PRJEB18049	175	180	245	222	277	325	268	283	337	117
GCF_900128505.1_PRJEB18032	282	289	418	298	367	401	346	388	420	104
GCF_900128905.1_IMG_taxon_2695420932_annotated_assembly	8	2	5	6	6	9	7	5	6	4
GCF_900129025.1_IMG_taxon_2695420943_annotated_assembly	2949	2828	3191	3131	3168	3379	3290	3421	3646	2514
GCF_900129535.1_IMG_taxon_2695420955_annotated_assembly	2141	2081	1925	1833	2727	2626	1972	3171	3255	1667
GCF_900129565.1_IMG_taxon_2675903007_annotated_assembly	2766	2573	2988	2965	2864	3126	3161	3115	3386	2418
GCF_900130025.1_IMG_taxon_2585428081_annotated_assembly	241	215	290	293	314	405	329	326	408	190
GCF_900130065.1_IMG_taxon_2585428085_annotated_assembly	508	459	633	632	636	726	681	674	784	360
GCF_900130135.1_PRJEB18269	550	533	694	688	684	758	728	757	876	326
GCF_900141755.1_IMG_taxon_2698536816_annotated_assembly	24	6	24	23	19	41	20	19	37	17
GCF_900141865.1_IMG_taxon_2585428091_annotated_assembly	-	-	-	-	-	1	-	-	1	-
GCF_900142115.1_IMG_taxon_2585428154_annotated_assembly	69	94	82	49	80	59	51	206	110	34
GCF_900142165.1_IMG_taxon_2585428171_annotated_assembly	1083	2940	2756	225	253	262	259	329	400	193
GCF_900142215.1_IMG_taxon_2585428173_annotated_assembly	2	2	5	4	3	15	4	2	12	2
GCF_900142265.1_IMG_taxon_2585428190_annotated_assembly	422	279	1434	1511	858	1135	1348	2012	3330	200
GCF_900142645.1_IMG_taxon_2642422560_annotated_assembly	1805	1577	1279	1243	3299	3227	1231	4260	4704	2209
GCF_900142955.1_IMG_taxon_2588253509_annotated_assembly	3871	3751	3938	3806	4247	4248	3951	4485	4615	3700
GCF_900143195.1_501571.5	319	286	354	404	396	390	404	401	500	223
GCF_900143205.1_IMG_taxon_2582580726_annotated_assembly	18	17	29	24	36	56	39	37	50	15
GCF_900143645.1_IMG_taxon_2582580727_annotated_assembly	165	156	233	230	276	354	253	277	366	129
GCF_900155365.1_PRJEB18748	222	184	131	142	757	685	154	1400	1414	226
GCF_900155425.1_PRJEB18759	1156	1300	1442	1338	1566	1650	1503	1713	1799	796
GCF_900155865.1_PRJEB18812	34	23	42	33	40	66	42	55	76	19
GCF_900157245.1_15_9	35	46	34	26	28	36	25	44	40	14
GCF_900157255.1_ATCC49417	230	232	266	211	240	233	248	304	319	140
GCF_900157265.1_A7A1_28	16	34	34	16	19	26	29	33	39	3
GCF_900157275.1_84_3	137	176	192	139	174	166	161	232	240	90
GCF_900157285.1_13_1	29	46	52	18	27	34	17	48	52	15
GCF_900157295.1_11A	69	81	98	31	36	36	36	48	63	20
GCF_900157345.1_AFR_5B1	35	52	45	16	35	36	19	52	44	7
GCF_900167005.1_IMG_taxon_2585428076_annotated_assembly	307	290	339	364	354	400	397	425	436	213
GCF_900167105.1_IMG_taxon_2582581320_annotated_assembly	363	321	432	441	420	503	477	471	537	244
GCF_900167555.1_IMG_taxon_2590828806_annotated_assembly	1769	1818	2012	1890	2002	2065	2067	2225	2232	1457
GCF_900168155.1_IMG_taxon_2595698220_annotated_assembly	-	-	-	-	-	-	-	-	1	-
GCF_900176335.1_IMG_taxon_2588254267_annotated_assembly	1188	1017	816	824	2220	2134	840	2814	3152	1466
GCF_900184885.1_MOUSE_M89_JASPER.fasta	138	88	478	1371	492	424	367	1122	1045	27
GCF_900184965.1_Mouse_2_MG.fasta	145	78	533	1312	455	390	392	1110	1043	23
GCF_900184975.1_Chimpanzee_2_2.fasta	273	320	431	285	423	277	241	534	366	120
GCF_900199595.1_IMG_taxon_2623620511_annotated_assembly	1270	1275	1508	1440	1490	1588	1562	1605	1664	948
GCF_900234395.1_JOUY54_assembly_v1	273	770	636	82	89	100	91	139	184	44
not_aligned	180	298	468	427	593	593	395	1046	1276	48
